#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_leventina_adj;Leventinan;;leventiner;;;;;;;;;;;x
d_engadin;Engadin;Engadin;Engadin;;Lower-Engadin;;;;;;;;;x
d_engadin_adj;engadinian;;engadinisch;;;;;;;;;;;x
d_lugano;Lugano;Lugano;Lugano;;Lugano;;;;;;;;;x
d_lugano_adj;Luganian;;luganer;;;;;;;;;;;x
d_lure;Lure;Lure;Lure;;Lure;;;;;;;;;x
d_lure_adj;Lurean;;lurer;;;;;;;;;;;x
d_luzern;Luzern;Luzern;Luzern;;Luzern;;;;;;;;;x
d_luzern_adj;Luzernian;;luzerner;;;;;;;;;;;x
d_maggia;Maggia;Maggia;Maggia;;Maggia;;;;;;;;;x
d_maggia_adj;Maggian;;magger;;;;;;;;;;;x
d_milano;Milano;Milano;Milano;;Milano;;;;;;;;;x
d_milano_adj;Milanian;;milaner;;;;;;;;;;;x
d_moesa;Moesa;Moesa;Moesa;;Moesa;;;;;;;;;x
d_moesa_adj;Moesan;;moeser;;;;;;;;;;;x
d_montbeliard;Montbéliard;Montbéliard;Montbéliard;;Montbéliard;;;;;;;;;x
d_montbeliard_adj;Montbéliardian;;Montbéliarder;;;;;;;;;;;x
d_montfaucon;Montfaucon;Montfaucon;Montfaucon;;Montfaucon;;;;;;;;;x
d_montfaucon_adj;Montfauconian;;montfauconer;;;;;;;;;;;x
d_montfort;Montfort;Montfort;Montfort;;Montfort;;;;;;;;;x
d_montfort_adj;Montfortian;;montforter;;;;;;;;;;;x
d_montgesoye;Montgesoye;Montgesoye;Montgesoye;;Montgesoye;;;;;;;;;x
d_montgesoye_adj;Montgesoyean;;montgesoer;;;;;;;;;;;x
d_morat;Morat;Morat;Morat;;Morat;;;;;;;;;x
d_morat_adj;Moratian;;morater;;;;;;;;;;;x
d_neuchatel;Neuchâtel;Neuchâtel;Neuchâtel;;Neuchâtel;;;;;;;;;x
d_neuchatel_adj;Neuchâtelian;;Neuchâteler;;;;;;;;;;;x
d_niederbayern;Niederbayern;Niederbayern;Niederbayern;;Niederbayern;;;;;;;;;x
d_niederbayern_adj;Niederbayernian;;niederbayerner;;;;;;;;;;;x
d_niederschwaben;Niederschwaben;Niederschwaben;Niederschwaben;;Niederschwaben;;;;;;;;;x
d_niederschwaben_adj;Niederschwabenian;;niederschwabener;;;;;;;;;;;x
d_oberaargau;Oberaargau;Oberaargau;Oberaargau;;Oberaargau;;;;;;;;;x
d_oberaargau_adj;Oberaargian;;oberaarger;;;;;;;;;;;x
d_oberschwaben;Oberschwaben;Oberschwaben;Oberschwaben;;Oberschwaben;;;;;;;;;x
d_oberschwaben_adj;Oberschwabenian;;oberschwabener;;;;;;;;;;;x
d_oberwallis;Oberwallis;Oberwallis;Oberwallis;;Oberwallis;;;;;;;;;x
d_oberwallis_adj;Oberwallisian;;oberwalliser;;;;;;;;;;;x
d_orbe;Orbe;Orbe;Orbe;;Orbe;;;;;;;;;x
d_orbe_adj;Orbean;;orber;;;;;;;;;;;x
d_rapperswil;Rapperswil;Rapperswil;Rapperswil;;Rapperswil;;;;;;;;;x
d_rapperswil_adj;Rapperswilian;;rapperswiler;;;;;;;;;;;x
d_regensberg;Regensberg;Regensberg;Regensberg;;Regensberg;;;;;;;;;x
d_regensberg_adj;Regensbergian;;regensberger;;;;;;;;;;;x
d_reuss;Reuss;Reuss;Reuss;;Reuss;;;;;;;;;x
d_reuss_adj;Reussian;;reusser;;;;;;;;;;;x
d_rintel;Rintel;Rintel;Rintel;;Rintel;;;;;;;;;x
d_rintel_adj;Rintelian;;rinteler;;;;;;;;;;;x
d_romont;Romont;Romont;Romont;;Romont;;;;;;;;;x
d_romont_adj;Romontian;;romonter;;;;;;;;;;;x
d_salins;Salins;Salins;Salins;;Salins;;;;;;;;;x
d_salins_adj;Salinsian;;salinser;;;;;;;;;;;x
d_saone;Saone;Saone;Saone;;Saone;;;;;;;;;x
d_saone_adj;Saonean;;saoner;;;;;;;;;;;x
d_savoy;Savoy;Savoy;Savoy;;Savoy;;;;;;;;;x
d_savoy_adj;Savoian;;savoer;;;;;;;;;;;x
d_schaffhausen;Schaffhausen;Schaffhausen;Schaffhausen;;Schaffhausen;;;;;;;;;x
d_schaffhausen_adj;Schaffhausenian;;schaffhausener;;;;;;;;;;;x
d_schwyz;Schwyz;Schwyz;Schwyz;;Schwyz;;;;;;;;;x
d_schwyz_adj;Schwyzian;;schwyzer;;;;;;;;;;;x
d_solothurn;Solothurn;Solothurn;Solothurn;;Solothurn;;;;;;;;;x
d_solothurn_adj;Solothurnian;;solothurner;;;;;;;;;;;x
d_sornegau;Sornegau;Sornegau;Sornegau;;Sornegau;;;;;;;;;x
d_sornegau_adj;Sornegian;;sorneger;;;;;;;;;;;x
d_st_claude;St.Claude;St.Claude;St.Claude;;St.Claude;;;;;;;;;x
d_st_claude_adj;St.Claudean;;st.clauder;;;;;;;;;;;x
d_st_gallen;St.Gallen;St.Gallen;St.Gallen;;St.Gallen;;;;;;;;;x
d_st_gallen_adj;St.Gallenian;;st.gallener;;;;;;;;;;;x
d_st_gervais;St.Gervais;St.Grevais;St.Gervais;;St.Grevais;;;;;;;;;x
d_st_gervais_adj;St.Gervaisian;;st.gervaiser;;;;;;;;;;;x
d_sundgau;Sundgau;Sundgau;Sundgau;;Sundgau;;;;;;;;;x
d_sundgau_adj;Sundgian;;sundger;;;;;;;;;;;x
d_surgau;Surgau;Surgau;Surgau;;Surgau;;;;;;;;;x
d_surgau_adj;Surgian;;surger;;;;;;;;;;;x
d_surselva;Surselva;Surselva;Surselva;;Surselva;;;;;;;;;x
d_surselva_adj;Surselvan;;surselver;;;;;;;;;;;x
d_thurgau;Thurgau;Thurgau;Thurgau;;Thurgau;;;;;;;;;x
d_thurgau_adj;Thurgian;;thurger;;;;;;;;;;;x
d_tirol;Tirol;Tirol;Tirol;;Tirol;;;;;;;;;x
d_tirol_adj;Tirolian;;tiroler;;;;;;;;;;;x
d_toggenburg;Toggenburg;Toggenburg;Toggenburg;;Toggenburg;;;;;;;;;x
d_toggenburg_adj;Toggenburgian;;toggenburger;;;;;;;;;;;x
d_ufgau;Ufgau;Ufgau;Ufgau;;Ufgau;;;;;;;;;x
d_ufgau_adj;Ufgian;;ufger;;;;;;;;;;;x
d_unteraargau;Unteraargau;Unteraargau;Unteraargau;;Unteraargau;;;;;;;;;x
d_unteraargau_adj;Unteraargian;;unteraarger;;;;;;;;;;;x
d_unterwalden;Unterwalden;Unterwalden;Unterwalden;;Unterwalden;;;;;;;;;x
d_unterwalden_adj;Unterwaldenian;;unterwaldener;;;;;;;;;;;x
d_uri;Uri;Uri;Uri;;Uri;;;;;;;;;x
d_uri_adj;Urian;;urer;;;;;;;;;;;x
d_valais_bas;Valais-Bas;Valais-Bas;Valais-Bas;;Valais-Bas;;;;;;;;;x
d_valais_bas_adj;Valais-Basian;;valais-baser;;;;;;;;;;;x
d_valtellina;Valtellina;Valtellina;Valtellina;;Valtellina;;;;;;;;;x
d_valtellina_adj;Valtellinan;;valtelliner;;;;;;;;;;;x
d_vaud;Vaud;Vaud;Vaud;;Vaud;;;;;;;;;x
d_vaud_adj;Vaudian;;vauder;;;;;;;;;;;x
d_yverdon;Yverdon;Yverdon;Yverdon;;Yverdon;;;;;;;;;x
d_yverdon_adj;Yverdonian;;yverdoner;;;;;;;;;;;x
d_zuerich;Zürich;Zürich;Zürich;;Zürich;;;;;;;;;x
d_zuerich_adj;Zürichian;;Züricher;;;;;;;;;;;x
d_zug;Zug;Zug;Zug;;Zug;;;;;;;;;x
d_zug_adj;Zugian;;zuger;;;;;;;;;;;x
d_sion_bishopric;Sion;;Sion;;Sion;;;;;;;;;x
d_sion_bishopric_adj;Sionian;;sittener;;Sionian;;;;;;;;;x
d_st_maurice_abbey;St. Maurice;St. Maurice;St. Maurice;;St. Maurice;;;;;;;;;x
d_st_maurice_abbey;Mauriceian;Mauriceian;Mauriceian;Mauriceian;Mauriceian;;;;;;;;;x
d_basel_bishopric;Basel;Bâle;Basel;;Basel;;;;;;;;;x
d_basel_bishopric_adj;baslerish;baloiase;basler;;;;;;;;;;;x
